Timestamp,Age,Gender ,Have you heard about Artificial Intelligence (AI) being used in education? ,"Have you ever used any AI-based tool for your learning? (ChatGPT, Grammarly, Duolingo, recommendation systems in online courses) ","If yes, which AI tools have you used for learning purposes? (Multiple choice)",Do you believe AI can personalize your learning experience? ,Have you received personalized feedback or recommendations from an AI tool that helped improve your learning?,Do you think AI helps in improving student engagement and motivation?,What are the biggest challenges you see in using AI for personalized learning? (Multiple choice),Would you recommend the integration of AI tools in your university’s teaching and learning methods?,What features do you think would make AI easier to use?
5/26/2025 22:03:46,20+,Female,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
5/26/2025 22:17:29,20+,Female,Yes,Yes,"ChatGPT, Grammarly, Gemini, Deepseek",Agree,Yes,Yes,Over-reliance on AI,Yes,"Multimodal Input (Image, Video, Text, Voice)"
5/26/2025 22:19:19,20+,Female,Yes,Yes,ChatGPT,Agree,Yes,Yes,Lack of awareness,Yes,Offline Mode Usage
5/26/2025 22:19:26,20+,Female,Yes,Yes,"ChatGPT, Duolingo, Gemini, Deepseek",Agree,No,Yes,Over-reliance on AI,Maybe,"Offline Mode Usage, Remembering Previous Data, Multimodal Input (Image, Video, Text, Voice)"
5/26/2025 22:28:53,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Cost and accessibility,Yes,"Offline Mode Usage, Analyzing Data to Predict Trends or Opportunities, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
5/26/2025 23:22:30,20+,Female,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Cost and accessibility,Yes,Offline Mode Usage
6/5/2025 6:05:39,20+,Male,Yes,No,Grammarly,Agree,Not sure,Yes,Privacy issues,Maybe,Analyzing Data to Predict Trends or Opportunities
6/22/2025 18:25:37,20+,Female,Yes,Yes,"ChatGPT, Duolingo",Agree,Yes,Yes,Cost and accessibility,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
6/26/2025 13:16:33,Under 20,Male,Yes,Yes,"ChatGPT, Gemini, Deepseek",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data"
6/26/2025 13:36:46,20+,Male,Yes,No,"ChatGPT, Duolingo, Gemini, Deepseek",Strongly Agree,Yes,Yes,Lack of awareness,Yes,Estimating Prices or Costs
